LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Saint-Chinian,2022,1354,Appartements,212
Entre-Vignes,2022,1043,Appartements,136
Saint-Clément-de-Rivière,2022,2495,Appartements,682
Sainte-Croix-de-Quintillargues,2022,366,Appartements,29
Saint-Drézéry,2022,1264,Appartements,195
Saint-Étienne-d'Albagnan,2022,302,Appartements,11
Saint-Étienne-de-Gourgas,2022,294,Appartements,14
Saint-Étienne-Estréchoux,2022,253,Appartements,73
Saint-Félix-de-l'Héras,2022,40,Appartements,2
Saint-Félix-de-Lodez,2022,592,Appartements,83
Saint-Gély-du-Fesc,2022,4629,Appartements,803
Saint-Geniès-des-Mourgues,2022,983,Appartements,108
Saint-Geniès-de-Varensal,2022,147,Appartements,15
Saint-Geniès-de-Fontedit,2022,965,Appartements,47
Saint-Georges-d'Orques,2022,2930,Appartements,1053
Saint-Gervais-sur-Mare,2022,748,Appartements,134
Saint-Guilhem-le-Désert,2022,251,Appartements,39
Saint-Guiraud,2022,149,Appartements,5
Saint-Hilaire-de-Beauvoir,2022,194,Appartements,18
Saint-Jean-de-Buèges,2022,206,Appartements,29
Saint-Jean-de-Cornies,2022,331,Appartements,10
Saint-Jean-de-Cuculles,2022,246,Appartements,12
Saint-Jean-de-Fos,2022,996,Appartements,78
Saint-Jean-de-la-Blaquière,2022,393,Appartements,35
Saint-Jean-de-Minervois,2022,157,Appartements,4
Saint-Jean-de-Védas,2022,6581,Appartements,2999
Saint-Julien,2022,236,Appartements,17
Saint-Just,2022,1408,Appartements,177
Saint-Martin-de-l'Arçon,2022,141,Appartements,4
Saint-Martin-de-Londres,2022,1292,Appartements,182
Saint-Mathieu-de-Tréviers,2022,2139,Appartements,580
Saint-Maurice-Navacelles,2022,222,Appartements,13
Saint-Michel,2022,75,Appartements,0
Saint-Nazaire-de-Ladarez,2022,304,Appartements,11
Saint-Nazaire-de-Pézan,2022,288,Appartements,43
Saint-Pargoire,2022,1245,Appartements,113
Saint-Paul-et-Valmalle,2022,597,Appartements,66
Saint-Pierre-de-la-Fage,2022,100,Appartements,10
Saint-Pons-de-Thomières,2022,1425,Appartements,495
Saint-Pons-de-Mauchiens,2022,455,Appartements,54
Saint-Privat,2022,354,Appartements,28
Saint-Saturnin-de-Lucian,2022,200,Appartements,23
Saint-Sériès,2022,450,Appartements,73
Saint-Thibéry,2022,1663,Appartements,275
